name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,sentiment_score,dominant_topic
Littlewing,tanya donelly,0.4969635627530364,0.419,0.694916106960481,0.0274143302180685,0.6415662650602411,0.0019,0.7104208416833667,0.3259334006054489,0.4162943097872967,0.1083333333333333,8
Drowns with Me,farzad golpayegani,0.4261133603238866,0.962,0.8519860136341911,0.0681204569055036,0.322289156626506,0.875,0.0678356713426853,0.7033299697275479,0.7605891755548562,-0.0416666666666666,9
Here's To Now,various artists,0.77834008097166,0.406,0.7516413855558071,0.0504672897196261,0.7248995983935743,0.000165,0.0873747494989979,0.4934409687184661,0.37651310437303,0.1637896825396825,3
How Do Ya Feel,five,0.7469635627530364,0.936,0.8274344074661032,0.1246105919003115,0.2108433734939759,2.58e-05,0.158316633266533,0.56912209889001,0.3896931070711695,0.2139001623376624,4
Nobody Does You (Better Than You),fresh beat band,0.7085020242914979,0.901,0.849319548210198,0.0804776739356178,0.0477911646586345,2.12e-06,0.1913827655310621,0.8657921291624621,0.4905054105873359,0.1869565217391304,5
Rattlesnake Shake (with Steven Tyler & Billy Gibbons) - Live from The London Palladium,mick fleetwood friends,0.4979757085020243,0.871,0.7246497119714235,0.064693665628245,0.0157630522088353,0.00405,0.8486973947895791,0.3572149344096871,0.4349687056697723,0.5499999999999999,1
Last Train To Satansville,swervedriver,0.4676113360323887,0.93,0.7172791990541594,0.0460020768431983,4.196787148594378e-05,0.552,0.1763527054108216,0.5368314833501514,0.5847236246642656,0.0038461538461538,3
Ding Dong,plan,0.4564777327935223,0.122,0.6643775312555027,0.0396677050882658,0.9297188755020082,0.00113,0.0926853707414829,0.1453077699293642,0.416474185754641,0.2071428571428571,8
Fair Game,sia,0.5253036437246964,0.408,0.8091213241767917,0.0326064382139148,0.6144578313253012,0.0,0.0986973947895791,0.272452068617558,0.5376492663922195,0.1785539215686274,5
Request,teyana taylor,0.3552631578947368,0.54,0.7728724876109979,0.0600207684319833,0.465863453815261,0.0,0.1182364729458917,0.325933400605449,0.3399206092889585,0.1333333333333333,5
The Cat Came Back,fred penner,0.7125506072874495,0.487,0.7250270419842528,0.1671858774662513,0.568273092369478,0.0,0.0653306613226452,0.6094853683148335,0.5084398621495996,0.0236486486486486,0
The Barrel - Edit,aldous harding,0.7469635627530364,0.423,0.7429376399265464,0.0344755970924195,0.745983935742972,7.96e-05,0.1192384769539078,0.6175580221997982,0.3559336584727713,0.0357142857142857,4
"Out of Key, But in the Mood",hermano,0.3704453441295546,0.768,0.8402636279022967,0.0699896157840083,0.0062048192771084,0.0709,0.125250501002004,0.6034308779011099,0.6553617346584196,-0.0948051948051948,9
I Wanna Be A Cowboy,boys dont cry,0.7580971659919029,0.626,0.6364299549719519,0.040809968847352,0.0115461847389558,0.5670000000000001,0.0559118236472945,0.7769929364278506,0.5828185746464825,-0.2296296296296296,5
Jump Around - House of Pain vs. Micky Slim Radio Edit,house pain,0.5587044534412956,0.844,0.8438859960254572,0.1308411214953271,0.0047590361445783,0.0861,0.5881763527054107,0.4036326942482341,0.4367960819743841,0.4,1
Somebody Hates Me,reel big fish,0.575910931174089,0.912,0.8568409931325938,0.0724818276220145,0.016867469879518,0.0,0.1072144288577154,0.7477295660948536,0.5396115496723396,-0.4863636363636363,6
Linger,heirsound,0.1690283400809715,0.67,0.7796141171735467,0.0381100726895119,0.4367469879518073,0.0115,0.1422845691382765,0.3077699293642785,0.2754187226353465,0.0247727272727272,4
I Am Changing,billy porter,0.5080971659919028,0.331,0.6903881468065303,0.0316718587746625,0.6134538152610441,0.0,0.12625250501002,0.3521695257315842,0.3838675785833133,-0.0269423558897243,5
Coital Mutilation,exhumed,0.2753036437246964,0.927,0.7090534047744824,0.0554517133956386,3.785140562248996e-06,0.925,0.0989979959919839,0.5388496468213926,0.468707713817336,-0.6,8
We Use The Pain - Live,guano apes,0.3471659919028339,0.905,0.7786582144743792,0.0769470404984423,0.0463855421686747,1.4800000000000002e-05,0.9859719438877754,0.7840565085771948,0.6876535588868948,0.020625,4
Time Ticking,juelz santana,0.5698380566801619,0.885,0.8689407088773174,0.288681204569055,0.1204819277108433,1.19e-05,0.4418837675350701,0.367305751765893,0.3621475555264847,0.1331448121770702,7
Cream Puff War - 2013 Remaster,grateful dead,0.3825910931174089,0.697,0.6855834779765049,0.0835929387331256,0.3253012048192771,0.0136,0.1402805611222445,0.4490413723511604,0.6745348775412591,-0.15,9
Here I Stand and Face the Rain,aha,0.6022267206477733,0.546,0.6176640756672452,0.0318795430944963,0.1586345381526104,1.84e-05,0.096693386773547,0.5650857719475277,0.5214277246098941,0.175,9
Looking In,mariah carey,0.1852226720647773,0.166,0.5993006817095565,0.0370716510903426,0.9016064257028114,0.000394,0.1282565130260521,0.0849646821392532,0.6975426490006663,0.19,9
Chasing the Night,every avenue,0.3704453441295546,0.88,0.8300254068875305,0.0484942886812045,0.0043975903614457,0.0,0.1683366733466934,0.58627648839556,0.8091311581968252,0.04375,3
Bouncing off Clouds - Live In Indianapolis 11/2/07,tori amos,0.6305668016194332,0.6970000000000001,0.6916962241843383,0.0627206645898234,0.5,0.0683,0.8837675350701402,0.457114026236125,0.5069640615993427,0.1406862745098039,9
SAME COLOR SYRUP,thouxanbanfauni,0.7672064777327935,0.413,0.5201871556863633,0.2658359293873312,0.3102409638554217,0.000882,0.1342685370741483,0.2714429868819373,0.3598582250330114,-0.0050892857142857,7
The Ballad Of John Henry - Live From Germany/2011,black country communion,0.3006072874493927,0.878,0.8249943400498075,0.0611630321910695,0.002289156626506,0.0805,0.9529058116232464,0.4228052472250252,0.5814572406208992,-0.23125,9
Cold Beverage,g love special sauce,0.6720647773279352,0.75,0.7425351545795286,0.0566978193146417,0.6616465863453815,1.77e-05,0.0734468937875751,0.9142280524722504,0.4116829440790146,-0.0564935064935064,7
Are You For Real,oar,0.5425101214574899,0.7829999999999999,0.8304278922345483,0.0795430944963655,0.0661646586345381,0.0,0.0879759519038076,0.5963673057517659,0.654756697313716,0.2722222222222222,4
If Your Faith Is Strong Enough,raúl esparza,0.4524291497975709,0.318,0.6928282142228259,0.0896157840083073,0.7781124497991968,0.0,0.0971943887775551,0.3451059535822401,0.3735451509118485,0.1699999999999999,2
The Night They Drove Old Dixie Down - Alternate Mix,band,0.4777327935222671,0.483,0.7151409956481272,0.045067497403946,0.5160642570281125,0.0,0.1342685370741483,0.3753784056508577,0.5225846541271315,0.2833333333333332,3
Everytime I Look at You,il divo,0.2682186234817814,0.286,0.6644278419238799,0.0359293873312564,0.7901606425702812,0.00076,0.1543086172344689,0.143289606458123,0.3316054338894498,0.1634259259259259,0
jealous of roses,bibio,0.6052631578947368,0.798,0.7710109928810405,0.1183800623052959,0.0176706827309236,0.0275,0.0861723446893787,0.9576185671039352,0.4417017901746841,0.35,5
Lonely Comin' Down,dolly parton,0.3927125506072873,0.203,0.6010112444343823,0.0300103842159916,0.8845381526104417,0.00989,0.1052104208416833,0.3743693239152371,0.6643350925748018,0.03,0
Pass Me By,peter fenn,0.5961538461538461,0.324,0.6749176162805323,0.0497403946002076,0.6104417670682731,3.6e-05,0.1132264529058116,0.6115035317860746,0.3888959294886208,0.3,0
Drop,chloe x halle,0.6720647773279352,0.393,0.7305109048373708,0.0470404984423676,0.0090863453815261,0.0,0.1172344689378757,0.2674066599394551,0.5919268395383729,-0.1470238095238095,8
"EAT ME, DRINK ME",marilyn manson,0.3805668016194332,0.822,0.762030538575705,0.1225337487019729,0.0043373493975903,0.0599,0.2284569138276553,0.177598385469223,0.6692694174062703,-0.2473684210526316,3
Til I Come Into the Wilds,mekila,0.5809716599190283,0.0429,0.3748144794103589,0.0474558670820353,0.8835341365461847,0.00807,0.1012024048096191,0.3874873864783047,0.5084521264201003,0.0154761904761904,0
The Love I Used to Call Mine,dolly parton,0.3876518218623481,0.1009999999999999,0.5513546147460568,0.0314641744548286,0.9578313253012049,0.0369,0.1092184368737474,0.148335015136226,0.329197548781136,0.303125,0
